,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,adjoe,pfr,pid,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,ROUND
866,13,4.3,104.5,24.1,45.5,43.93,18.8,14.9,8.2,9.6,1,4,0.25,10,22,0.455,0,0,0.0,4.7,1.2,18.2,112.101,6.8,73760,1.0,4.0,5.0,6.0,17.0,0.8,0.3529,3.0,3.0,1.0,90.779,91.0777,0.511808,9.74466,1.73479,0.982017,0.752769,-3.3372,5.7857,-2.43916,-0.898035,1.0,1.0714,2.0714,0.1429,0.1429,0.2857,2.2857,0.0
867,7,16.7,96.9,26.5,38.2,45.11,2.1,8.6,28.1,15.8,26,32,0.813,22,56,0.393,8,33,0.242,0.0,3.7,36.0,108.656,2.2,66172,1.93752447,14.0,29.0,8.0,27.0,0.4828,0.2963,1.0,1.0,1.0,102.735,100.363,2.86193,42.7827,1.62573,2.31179,-0.686051,2.31088,30.5714,1.47438,0.836501,0.5714,2.4286,3.0,4.4286,2.0,0.0,13.4286,0.0
868,31,73.6,101.1,17.9,50.0,52.86,3.4,8.3,21.0,24.2,42,58,0.724,63,129,0.488,33,96,0.344,0.1,3.0,25.8,96.5055,2.3,13028,1.37881634,34.0,63.0,29.0,66.0,0.5397,0.4394,0.0,0.0,0.0,105.533,108.698,1.81912,153.924,-1.7376,-0.108115,-1.62949,-1.3321,29.6774,-0.911164,-0.420939,0.9355,2.1613,3.0968,2.9355,1.4516,0.0323,8.6129,0.0
869,32,57.1,124.9,20.9,65.4,66.66,13.6,14.1,5.4,14.9,62,89,0.697,141,213,0.662,1,5,0.2,5.0,1.7,40.8,128.029,6.3,47007,0.48720055,117.0,148.0,23.0,63.0,0.7905,0.3651,19.0,22.0,0.8636,96.5393,94.3291,2.7811,145.425,7.37551,3.9721,3.40341,5.24319,23.0,3.12204,2.12115,2.5938,2.625,5.2188,0.5938,0.6562,0.9375,10.8438,0.0
870,23,20.2,78.0,17.6,41.0,44.9,1.5,10.5,16.1,30.1,12,19,0.632,10,30,0.333,7,20,0.35,0.0,1.9,38.0,76.5909,2.3,31195,0.95452169,3.0,6.0,7.0,24.0,0.5,0.2917,0.0,0.0,0.0,100.529,100.684,1.00964,42.0676,-4.67951,-4.53527,-0.144237,-3.06104,11.5217,-3.22617,0.165129,0.1304,1.0,1.1304,0.913,0.3478,0.0,2.3043,0.0
871,13,14.6,103.5,20.2,57.5,60.48,2.5,5.1,15.0,23.6,10,12,0.833,14,29,0.483,11,24,0.458,0.0,2.9,22.6,103.521,3.0,67746,1.33329999,6.0,10.0,8.0,19.0,0.6,0.4211,0.0,0.0,0.0,101.991,100.011,1.24743,30.6463,-1.45254,-0.0678733,-1.38467,2.92449,12.2,2.12259,0.801897,0.2667,0.6,0.8667,1.3333,0.6667,0.0,5.2,0.0
872,31,32.5,94.9,18.2,47.4,50.65,3.3,8.1,17.9,22.9,26,41,0.634,22,45,0.489,16,52,0.308,0.5,1.3,42.3,96.5785,2.4,50226,1.20006194,17.0,29.0,5.0,16.0,0.5862,0.3125,4.0,4.0,1.0,108.823,103.62,1.20121,62.0655,-2.50377,-1.37035,-1.13342,-2.51555,13.4516,-1.79722,-0.718321,0.3871,0.9677,1.3548,1.1613,0.2903,0.0645,3.8065,0.0
873,28,43.6,94.5,17.4,50.4,52.74,3.8,20.4,16.9,24.6,29,46,0.63,34,60,0.567,20,67,0.299,1.2,0.8,36.2,93.7126,2.8,51288,1.09305202,30.0,49.0,4.0,11.0,0.6122,0.3636,5.0,5.0,1.0,110.967,107.922,1.3417,99.6053,-2.70305,-1.46095,-1.2421,-1.73623,20.0,-0.769865,-0.966365,0.75,3.5714,4.3214,1.6786,0.2857,0.25,5.6071,0.0
874,29,81.5,108.7,21.3,54.7,57.68,9.6,15.9,7.5,19.0,87,127,0.685,155,279,0.556,2,10,0.2,3.0,0.9,43.9,114.211,2.9,18374,0.49253341,91.0,107.0,64.0,172.0,0.8505,0.3721,41.0,43.0,0.9535,97.7252,95.7841,3.64363,172.136,2.50737,1.54514,0.962232,2.92422,33.8621,2.41683,0.507393,2.5862,4.5862,7.1724,1.1379,0.5172,0.8966,13.8966,0.0
875,31,63.9,104.8,24.0,52.4,56.65,7.1,10.0,7.1,16.8,99,139,0.712,149,276,0.54,1,11,0.091,1.3,2.9,48.4,111.406,3.6,41728,0.48330666,105.0,159.0,44.0,117.0,0.6604,0.3761,14.0,15.0,0.9333,99.7271,98.4293,2.84533,157.827,0.769676,-0.267847,1.03752,2.45595,26.625,0.751274,1.70468,1.6562,2.6562,4.3125,0.9062,1.3438,0.3438,12.9688,0.0
