,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,adjoe,pfr,pid,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,ROUND
0,34,86.3,108.9,28.0,53.7,56.04,15.4,22.2,9.6,17.5,117,179,0.654,252,469,0.537,0,0,0.0,5.6,1.5,38.2,126.906,3.4,215,0.51547548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.241,94.4767,3.92113,251.586,5.5629,3.55648,2.00643,4.59277,35.6765,4.56177,0.0309945,4.2059,6.8235,11.0294,1.4706,0.8824,1.7059,18.2647,1.0
1,34,88.0,117.3,32.6,52.4,58.33,1.6,10.0,40.8,15.4,198,243,0.815,182,353,0.516,66,183,0.361,0.5,2.9,45.3,137.585,2.7,295,2.07920961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5092,95.9311,3.70657,211.625,8.6185,8.21306,0.405443,10.5694,35.4706,8.52288,2.04655,0.4706,3.1176,3.5882,6.1765,1.7059,0.1765,22.3529,1.0
2,37,85.4,100.3,24.6,49.2,51.67,9.1,18.7,18.2,22.0,90,139,0.647,171,347,0.493,31,95,0.326,4.1,1.7,31.4,111.212,2.2,365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6298,82.7262,5.16034,265.066,6.6726,1.81849,4.8541,5.72521,34.2703,2.77433,2.95088,2.7568,5.9459,8.7027,3.2162,1.027,1.3784,14.1892,1.0
3,34,69.3,124.7,26.5,52.4,61.26,10.7,16.6,5.9,12.2,249,296,0.841,214,411,0.521,9,23,0.391,1.1,2.2,68.2,143.123,3.0,895,0.53969452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7501,88.5631,3.9451,223.742,7.1845,6.45565,0.728855,8.81603,30.2647,7.44251,1.37352,3.0294,5.0882,8.1176,1.0,1.2353,0.3529,20.7059,1.0
4,35,83.6,117.1,21.5,60.1,62.12,13.4,19.0,8.2,17.4,120,182,0.659,190,316,0.601,0,0,0.0,9.5,1.8,57.6,124.31,3.5,1132,0.61110299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7663,84.1619,4.88672,259.815,11.3356,4.38556,6.95008,9.59617,33.6857,5.14951,4.44666,3.5143,5.5143,9.0286,1.2571,0.9714,2.8571,14.2857,1.0
5,31,79.9,113.1,26.2,54.6,61.47,1.7,8.6,20.2,21.0,179,219,0.817,135,269,0.502,45,102,0.441,2.0,3.1,59.0,125.453,2.7,1633,1.05770834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1768,90.6154,3.95475,203.186,6.6175,4.81044,1.80706,8.47287,31.9677,5.78494,2.68792,0.4839,2.8065,3.2903,3.5484,1.871,0.6452,18.8387,1.0
6,31,76.3,113.5,22.2,57.4,59.31,9.6,19.2,12.3,18.5,69,99,0.697,165,276,0.598,22,69,0.319,5.0,2.5,28.7,119.948,3.8,1634,0.83783671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.965,85.6534,4.3006,236.275,9.52538,4.79792,4.72746,8.39846,30.5161,5.0609,3.33757,2.5484,5.9677,8.5161,2.0,1.4194,1.5484,15.0,1.0
7,33,82.1,118.0,37.5,54.9,60.46,1.8,12.3,39.8,16.6,212,241,0.88,176,340,0.518,127,327,0.388,0.7,3.9,36.1,141.028,2.8,1827,1.43198081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1128,88.3785,4.44618,253.62,12.3076,9.67838,2.62918,15.279,33.8182,10.7909,4.48812,0.5758,3.9091,4.4848,5.4242,2.3333,0.2121,28.6364,1.0
8,37,74.1,110.6,27.2,49.4,54.24,4.7,14.4,18.0,15.4,143,188,0.761,172,351,0.49,41,122,0.336,2.4,2.4,39.7,126.916,2.3,2016,1.13749889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2551,88.4646,3.88664,216.74,6.55578,4.30157,2.25421,8.56934,29.7297,6.30326,2.26608,1.2432,3.7027,4.9459,2.4595,1.2432,0.7568,16.4865,1.0
9,37,90.7,111.9,24.9,50.6,56.57,1.9,5.9,32.6,20.5,175,223,0.785,168,325,0.517,45,140,0.321,0.4,2.0,48.0,126.92,1.5,2115,1.95277362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.602,97.009,3.68145,214.199,4.75927,5.21382,-0.454556,5.64943,37.4865,5.10228,0.547152,0.5946,2.2162,2.8108,6.7027,1.3514,0.1622,17.4595,1.0
10,37,85.3,108.1,21.3,50.4,51.72,4.5,22.7,27.0,18.4,68,117,0.581,112,244,0.459,57,148,0.385,2.3,4.0,29.8,115.268,2.0,2178,2.15118526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7598,77.2472,5.80053,323.675,10.9981,4.41739,6.58071,11.3982,34.2162,5.35649,6.04175,1.3784,7.1892,8.5676,5.0,2.3243,0.7838,12.5135,1.0
11,35,78.5,120.7,23.7,56.8,62.4,1.9,7.9,28.4,20.2,113,126,0.897,134,240,0.558,41,104,0.394,0.5,3.1,36.6,132.45,1.9,2332,1.90807422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6762,93.1281,3.61098,185.905,7.68701,6.62244,1.06457,8.63696,31.5143,6.4635,2.17346,0.4571,1.9429,2.4,4.7429,1.6286,0.1429,14.4,1.0
12,34,69.3,133.7,22.7,59.8,65.29,2.3,7.6,35.7,14.9,164,205,0.8,127,229,0.555,48,104,0.462,0.4,3.8,61.6,145.653,2.2,2335,3.39388009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9576,90.0007,3.79468,213.1,12.5649,10.8452,1.71975,13.9619,30.2647,9.54698,4.4149,0.6471,2.3235,2.9706,6.5882,2.1471,0.1471,16.5294,1.0
13,37,76.4,123.7,20.4,57.5,60.1,5.4,10.9,14.8,13.9,87,112,0.777,126,236,0.534,83,200,0.415,0.5,1.5,25.7,130.887,1.9,2343,1.63939096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2781,93.3517,3.48877,202.594,8.95892,7.84373,1.11519,8.77198,30.6486,7.46548,1.3065,1.5405,3.3784,4.9189,2.7027,0.8919,0.1622,15.8919,1.0
14,38,70.0,118.8,25.1,57.6,59.15,9.3,18.6,15.2,11.5,121,191,0.634,230,397,0.579,16,44,0.364,2.4,3.1,43.3,132.97,3.2,2446,1.46427362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7454,85.9031,3.92175,248.047,10.1056,6.31798,3.78759,10.0423,28.0,7.33047,2.71187,2.4211,4.7632,7.1842,2.1579,1.5526,0.6579,16.5526,1.0
15,35,75.1,118.7,19.4,64.4,64.84,13.4,21.7,3.0,17.5,131,209,0.627,172,267,0.644,0,0,0.0,11.9,1.2,78.3,122.991,3.1,2709,0.26153681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8351,78.8458,5.07759,287.554,11.5125,3.53021,7.98233,11.2046,31.6286,5.13615,6.06841,3.6857,7.0286,10.7143,0.4857,0.6286,4.2,13.5714,1.0
16,33,65.4,102.6,24.4,53.6,56.16,4.7,22.1,8.1,18.9,72,104,0.692,118,241,0.49,36,80,0.45,8.1,1.6,32.4,111.003,4.3,2742,0.53622842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.3883,82.9323,3.93453,217.197,5.75346,0.387002,5.36646,5.2688,26.3636,1.79443,3.47437,1.0,5.6667,6.6667,1.1212,0.7273,2.0,12.6061,1.0
17,35,80.6,117.6,31.1,65.7,64.77,14.2,32.2,16.3,18.2,191,324,0.59,297,451,0.659,3,8,0.375,3.6,1.9,70.6,139.82,3.1,2804,0.6896479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4256,82.5913,5.02664,316.56,11.3401,6.90629,4.43384,12.3844,33.2857,9.59816,2.78622,3.8571,10.5429,14.4,2.2857,1.1143,1.1714,22.6857,1.0
18,35,90.7,115.7,27.6,52.5,58.11,2.7,9.1,20.2,14.6,188,232,0.81,154,315,0.489,85,221,0.385,1.3,2.9,43.3,131.814,2.4,3607,1.17242632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8368,90.557,4.49604,228.792,8.10949,6.63996,1.46953,9.74611,36.5429,7.17103,2.57508,0.8,3.1143,3.9143,2.9143,1.8,0.4286,21.4571,1.0
19,35,88.3,112.8,32.6,55.3,60.66,5.5,14.6,29.2,19.0,204,270,0.756,163,289,0.564,58,163,0.356,1.1,3.1,59.7,137.102,3.2,3638,1.25425636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6385,89.5229,4.50387,234.839,10.3738,7.16968,3.20412,9.8125,35.8286,6.88906,2.92344,1.3714,4.2,5.5714,4.2286,1.6857,0.3143,20.1143,1.0
20,31,80.7,94.6,21.0,40.2,45.39,3.1,10.3,25.1,24.5,67,84,0.798,81,217,0.373,25,78,0.321,0.3,2.9,28.5,91.1177,3.3,5395,1.47675002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.496,106.702,2.19202,177.845,-2.54528,-1.65565,-0.889631,-2.47346,32.5484,-2.12124,-0.352225,0.9355,2.7742,3.7097,4.0968,1.5484,0.0968,9.8065,1.0
21,35,67.6,107.2,20.5,50.4,53.15,6.0,11.8,23.8,23.4,45,62,0.726,85,161,0.528,27,88,0.307,2.1,3.5,24.9,113.024,3.2,5415,1.71995891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4139,90.0492,3.39905,183.665,8.33521,4.49208,3.84313,6.74022,27.1429,3.30703,3.43319,1.2571,2.5143,3.7714,3.6857,1.5714,0.5143,8.4571,1.0
22,35,82.8,108.2,22.3,53.1,55.51,9.3,11.6,9.6,17.1,95,147,0.646,186,331,0.562,6,36,0.167,1.2,1.6,40.1,115.966,2.5,5417,0.69861438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6449,91.3877,4.01033,189.502,4.60647,3.24057,1.3659,4.94133,33.3714,3.50114,1.44019,2.4,3.3429,5.7429,1.4571,0.8857,0.3714,13.8571,1.0
23,37,72.2,101.8,33.0,48.9,52.92,5.0,15.3,30.0,21.8,138,194,0.711,196,381,0.514,34,124,0.274,2.8,4.2,38.4,122.038,3.3,9524,1.07519617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.1427,79.0978,4.72624,250.295,10.0383,3.86939,6.16888,10.5783,28.973,5.31444,5.26382,1.2703,4.0811,5.3514,3.8649,2.0811,0.7838,17.0811,1.0
24,33,50.3,106.2,23.2,63.8,62.88,11.6,17.1,3.3,20.9,52,93,0.559,120,187,0.642,0,1,0.0,6.8,1.5,49.5,116.434,4.1,50000,0.17644775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2855,90.4165,2.50107,132.228,2.75191,0.948526,1.80338,3.57823,20.3333,2.14146,1.43677,1.6667,3.0,4.6667,0.2727,0.4848,1.1212,8.8485,1.0
25,32,84.8,111.7,30.7,49.7,55.02,3.9,10.3,35.3,18.2,138,161,0.857,151,320,0.472,67,186,0.36,1.0,2.9,31.8,133.611,2.4,465,1.87964446,63.0,109.0,88.0,211.0,0.578,0.4171,4.0,4.0,1.0,97.2737,92.9583,3.94793,211.734,9.25869,7.75068,1.50801,9.97327,34.3125,8.04126,1.932,1.1875,3.5312,4.7188,6.3438,1.7188,0.3438,20.0312,1.0
26,36,66.4,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,108,159,0.679,149,265,0.562,0,0,0.0,13.0,1.6,60.0,122.635,3.8,763,0.55354846,92.0,126.0,57.0,139.0,0.7302,0.4101,32.0,33.0,0.9697,84.64,78.9024,4.40012,253.179,11.5599,3.09864,8.4613,9.80489,26.75,4.63956,5.16533,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,1.0
27,34,74.8,115.6,25.5,54.4,57.83,11.0,23.9,6.1,14.1,155,230,0.674,174,325,0.535,36,94,0.383,3.6,3.0,54.9,129.966,3.9,825,0.47826942,110.0,151.0,64.0,174.0,0.7285,0.3678,29.0,30.0,0.9667,87.0914,82.4905,4.57189,274.792,8.40478,5.14642,3.25836,9.92271,30.2647,7.03914,2.88357,3.1471,7.1471,10.2941,0.9706,1.6765,1.1765,17.9706,1.0
28,34,79.5,108.1,29.6,49.5,53.63,8.2,21.3,11.2,12.9,107,127,0.843,157,328,0.479,65,186,0.349,1.7,3.6,24.7,125.739,4.2,1257,0.77610879,92.0,138.0,65.0,190.0,0.6667,0.3421,10.0,10.0,1.0,92.9318,87.7798,4.27275,240.072,6.82767,4.14841,2.67926,6.648,32.2647,4.82618,1.82182,2.1176,5.4118,7.5294,1.5294,1.8824,0.5294,18.1176,1.0
29,35,79.4,113.0,28.9,53.2,56.43,3.4,12.0,20.1,14.7,119,154,0.773,181,361,0.501,79,202,0.391,0.6,2.4,27.4,132.041,2.0,1345,1.18821539,111.0,178.0,70.0,183.0,0.6236,0.3825,17.0,18.0,0.9444,97.334,93.4411,3.6428,213.404,7.51311,6.47642,1.0367,9.56247,32.7714,8.04605,1.51642,0.9714,3.7714,4.7429,2.8857,1.3429,0.2,20.5143,1.0
30,31,74.4,108.9,34.5,54.0,58.15,7.4,23.5,37.5,21.7,138,182,0.758,217,402,0.54,20,55,0.364,2.9,3.0,39.8,135.245,3.1,1929,1.36028349,102.0,130.0,106.0,258.0,0.7846,0.4109,18.0,19.0,0.9474,88.4064,83.6938,5.29392,247.062,11.1906,5.66679,5.52382,11.2167,35.7419,6.94325,4.27342,2.0,7.1613,9.1613,5.9677,1.7419,0.9032,20.3871,1.0
31,33,92.0,110.1,30.2,50.3,56.22,3.6,14.9,24.4,16.0,209,282,0.741,170,326,0.521,52,167,0.311,1.6,2.8,57.2,128.843,3.0,2231,1.23712323,102.0,148.0,68.0,178.0,0.6892,0.382,11.0,12.0,0.9167,98.0138,92.4328,4.35227,235.792,8.4962,5.97313,2.52308,9.79203,37.0909,6.99379,2.79824,1.1212,4.9697,6.0909,3.6364,1.697,0.5758,21.3636,1.0
32,32,76.9,112.0,24.7,53.3,54.95,10.1,20.4,17.4,14.4,101,171,0.591,179,327,0.547,9,34,0.265,4.6,2.5,47.4,125.31,2.6,2429,1.30642577,139.0,192.0,40.0,135.0,0.724,0.2963,33.0,37.0,0.8919,88.4183,84.658,4.46515,225.348,9.79521,4.77296,5.02225,10.0595,30.75,6.40153,3.65793,2.7812,5.5938,8.375,2.5312,1.3438,1.4062,15.1875,1.0
33,35,88.0,110.5,23.0,49.1,52.99,12.8,17.6,14.7,17.9,110,159,0.692,178,358,0.497,7,26,0.269,11.0,1.4,41.4,120.501,2.8,2610,1.11631598,78.0,109.0,100.0,249.0,0.7156,0.4016,30.0,32.0,0.9375,93.4571,88.0061,4.70314,273.986,11.5652,4.36662,7.19855,8.83903,35.4571,4.87541,3.96362,3.6,6.1143,9.7143,2.7429,0.8286,3.7429,13.9143,1.0
34,33,84.8,117.5,30.7,53.2,59.61,6.7,12.9,16.5,13.1,209,258,0.81,152,277,0.549,74,217,0.341,2.0,2.4,52.2,139.629,3.1,2812,1.02563887,117.0,184.0,35.0,93.0,0.6359,0.3763,22.0,24.0,0.9167,98.1485,93.2981,3.9099,217.438,10.434,8.45581,1.97822,11.3054,34.0606,9.4241,1.88125,1.9394,3.8788,5.8182,2.4242,1.3939,0.6061,22.2727,1.0
35,35,64.9,112.8,26.1,54.0,56.35,13.1,25.2,7.7,13.8,107,167,0.641,192,351,0.547,4,16,0.25,9.1,1.6,45.5,123.845,4.4,3246,0.58620484,137.0,199.0,55.0,152.0,0.6884,0.3618,59.0,63.0,0.9365,89.8001,88.9952,3.47458,228.258,6.40892,2.22981,4.17911,6.33735,26.8857,4.31436,2.02299,3.0286,6.0857,9.1143,0.9714,0.7429,2.5714,14.3714,1.0
36,32,86.5,103.0,25.1,45.0,49.8,6.6,19.4,13.1,13.8,117,154,0.76,165,370,0.446,27,87,0.31,3.3,1.3,33.7,113.175,2.3,3689,1.01468232,53.0,69.0,112.0,301.0,0.7681,0.3721,35.0,38.0,0.9211,97.7414,91.463,4.20532,232.463,4.77128,1.9217,2.84958,5.06978,35.125,3.13997,1.92981,2.0938,6.4375,8.5312,2.1562,0.7812,1.1875,16.5,1.0
37,38,81.8,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,90,130,0.692,191,305,0.626,24,69,0.348,4.1,1.2,34.8,129.364,1.9,3715,0.87811659,136.0,165.0,50.0,127.0,0.8242,0.3937,65.0,70.0,0.9286,94.0703,89.5707,4.19133,233.26,9.11359,5.81768,3.29592,8.74506,33.0263,6.23586,2.5092,3.0526,4.3947,7.4474,0.9474,0.7105,1.3421,14.3158,1.0
38,36,80.4,123.0,25.2,54.7,60.82,10.3,15.0,11.2,12.8,187,226,0.827,227,413,0.55,18,51,0.353,1.8,2.2,48.7,136.751,3.1,3829,0.92646512,113.0,143.0,114.0,270.0,0.7902,0.4222,34.0,35.0,0.9714,95.2815,90.3543,4.03499,237.307,9.18086,6.61291,2.56795,9.62658,32.2778,7.5522,2.07438,2.9722,4.3889,7.3611,1.75,1.2778,0.5833,19.3056,1.0
39,34,85.6,106.8,27.5,53.4,56.68,8.6,25.2,22.4,20.8,138,209,0.66,195,358,0.545,7,27,0.259,4.9,2.2,54.3,123.778,3.0,5531,1.14286144,154.0,238.0,33.0,102.0,0.6471,0.3235,21.0,22.0,0.9545,93.1304,86.8378,4.7123,266.081,8.07504,3.30906,4.76598,7.86202,34.2353,4.54337,3.31865,2.1765,7.4706,9.6471,3.7647,1.2353,1.5294,16.1471,1.0
40,31,76.4,101.8,27.8,47.1,52.4,14.6,20.5,9.1,20.6,139,199,0.698,149,308,0.484,18,66,0.273,4.5,2.6,53.2,118.004,3.8,5612,0.41415375,112.0,173.0,37.0,135.0,0.6474,0.2741,46.0,48.0,0.9583,90.2827,85.7956,4.31568,237.061,6.58999,2.7312,3.85879,6.42958,31.2903,4.27468,2.15491,4.2903,6.4194,10.7097,1.3226,1.4194,1.4194,15.8387,1.0
41,28,72.6,105.6,27.3,51.0,57.22,6.8,18.6,22.6,20.8,110,122,0.902,92,188,0.489,58,163,0.356,3.0,3.9,34.8,115.82,3.5,5903,0.96627442,70.0,106.0,22.0,82.0,0.6604,0.2683,18.0,22.0,0.8182,94.6435,92.7156,3.89014,210.186,6.68486,3.41633,3.26852,6.74572,33.1786,4.41774,2.32799,1.9286,5.2857,7.2143,3.0714,2.1429,0.8571,16.7143,1.0
42,33,93.2,120.4,26.0,54.0,61.23,6.5,19.1,10.9,13.9,195,212,0.92,203,393,0.517,42,100,0.42,1.9,1.5,43.0,130.308,2.7,6121,0.88608553,72.0,115.0,131.0,278.0,0.6261,0.4712,12.0,12.0,1.0,103.76,99.6456,3.47298,246.614,4.8202,4.59114,0.229052,7.07878,37.5455,6.51045,0.568331,2.0606,6.8182,8.8788,2.1212,1.0,0.7879,22.0303,1.0
43,37,81.2,113.3,24.4,52.7,60.13,7.6,23.4,12.1,17.5,179,216,0.829,126,213,0.592,47,160,0.294,2.8,2.0,57.9,123.856,2.5,6696,0.72942144,89.0,128.0,34.0,77.0,0.6953,0.4416,19.0,20.0,0.95,88.9765,84.8713,4.82144,258.749,8.61433,3.93472,4.67961,8.95662,33.4865,5.68736,3.26926,1.9459,6.2973,8.2432,1.6757,1.0811,0.8108,15.4595,1.0
44,23,43.0,112.0,21.5,57.8,60.66,10.8,24.2,6.8,18.3,87,132,0.659,111,192,0.578,0,0,0.0,9.5,0.9,68.8,117.857,2.6,6808,0.47825,42.0,50.0,61.0,132.0,0.84,0.4621,26.0,27.0,0.963,92.5656,87.8784,3.71526,160.882,7.56537,1.89527,5.6701,6.81338,27.8696,3.62077,3.19261,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348,1.0
45,28,7.0,109.6,18.6,47.8,53.11,14.8,16.6,3.4,15.4,10,15,0.667,11,23,0.478,0,0,0.0,5.3,1.1,65.2,108.761,12.5,9708,0.39977605,6.0,7.0,5.0,16.0,0.8571,0.3125,3.0,3.0,1.0,92.2207,90.32,0.443948,21.1833,0.713889,-0.345733,1.05962,-4.14693,3.5357,-5.13026,0.983329,0.4286,0.5357,0.9643,0.0714,0.0714,0.1786,1.1429,1.0
46,36,68.3,113.7,21.7,55.5,59.1,5.2,11.5,9.8,18.2,90,115,0.783,93,189,0.492,69,165,0.418,1.8,3.1,32.5,121.52,2.7,10527,0.76809101,60.0,90.0,33.0,99.0,0.6667,0.3333,17.0,17.0,1.0,94.3044,87.9117,3.68132,187.834,8.26661,5.41597,2.85064,7.97607,27.5,5.49854,2.47754,1.1944,3.1667,4.3611,1.4722,1.5,0.5,13.4167,1.0
47,35,69.2,109.0,21.8,61.5,62.31,12.5,20.2,7.3,22.9,86,137,0.628,177,287,0.617,0,1,0.0,7.8,1.8,47.6,118.568,3.8,10724,0.38374508,137.0,175.0,40.0,112.0,0.7829,0.3571,53.0,56.0,0.9464,88.5618,84.2157,4.06076,235.754,8.92075,2.8466,6.07414,7.50762,27.7714,3.82367,3.68395,3.0571,5.5714,8.6286,0.9429,0.8857,2.0571,12.5714,1.0
48,34,83.3,112.8,27.7,53.6,59.85,2.7,11.3,24.0,18.8,194,256,0.758,118,224,0.527,60,164,0.366,0.4,2.4,66.0,126.27,2.4,11987,1.27998773,98.0,152.0,20.0,72.0,0.6447,0.2778,30.0,33.0,0.9091,100.027,97.5047,3.35336,187.369,4.81809,5.46123,-0.64314,6.0389,33.3235,5.84748,0.191424,0.7353,3.2353,3.9706,3.7647,1.3235,0.1176,17.9412,1.0
49,34,72.9,105.2,19.0,48.9,49.58,3.5,6.6,12.4,14.6,36,66,0.545,117,256,0.457,42,112,0.375,1.6,2.4,17.9,108.917,3.2,12555,1.36537211,47.0,89.0,70.0,167.0,0.5281,0.4192,14.0,16.0,0.875,97.7023,92.5408,3.43879,176.727,5.12429,3.17971,1.94458,4.06416,29.5,1.96455,2.09962,0.9706,1.9118,2.8824,2.0882,1.2941,0.5294,11.6471,1.0
50,38,32.7,95.1,15.9,52.7,53.34,10.3,16.3,5.0,26.8,33,63,0.524,48,89,0.539,0,2,0.0,10.6,2.4,69.2,92.9901,7.0,12620,0.39469999,31.0,43.0,17.0,46.0,0.7209,0.3696,13.0,16.0,0.8125,86.2755,82.1487,2.01344,124.495,7.4612,-0.607627,8.06883,3.43511,13.2105,-2.35929,5.7944,1.1842,2.1316,3.3158,0.3947,0.5526,1.3947,3.3947,1.0
51,37,73.1,100.4,20.2,54.0,56.56,2.0,8.6,16.8,27.7,82,123,0.667,95,184,0.516,49,128,0.383,1.1,2.6,39.4,105.16,2.9,12621,0.95536839,72.0,110.0,21.0,68.0,0.6545,0.3088,6.0,6.0,1.0,94.8649,90.0148,3.80115,201.434,4.2837,1.79336,2.49034,3.62646,30.3243,0.921529,2.70493,0.5135,2.5676,3.0811,2.8919,1.4054,0.3243,11.3243,1.0
52,37,83.9,108.7,26.9,50.3,56.18,2.7,10.1,34.8,24.2,175,232,0.754,165,324,0.509,37,114,0.325,1.5,2.9,53.0,123.007,2.2,12637,1.61745724,116.0,182.0,40.0,127.0,0.6374,0.315,33.0,36.0,0.9167,93.3072,88.793,4.50963,247.229,7.09124,4.39997,2.69126,7.72509,34.8108,4.82966,2.89544,0.8108,3.4865,4.2973,6.5135,1.7838,0.5135,16.6486,1.0
53,38,58.2,113.5,30.8,56.0,57.93,19.9,24.9,9.2,16.0,162,268,0.604,205,363,0.565,1,6,0.167,7.5,2.4,72.6,134.534,5.5,13656,0.487187,144.0,189.0,57.0,163.0,0.7619,0.3497,53.0,57.0,0.9298,83.3244,79.3387,3.80857,242.468,9.60971,4.65779,4.95191,9.60263,23.5,6.16153,3.4411,4.0526,5.7895,9.8421,1.0,0.9737,1.7632,15.1316,1.0
54,37,85.1,114.0,30.8,50.8,56.4,4.1,10.1,30.3,17.3,187,230,0.813,203,405,0.501,57,163,0.35,0.2,2.0,40.5,136.992,2.3,198,1.60168696,121.0,180.0,82.0,225.0,0.6722,0.3644,19.0,21.0,0.9048,94.9421,90.2798,4.32707,221.453,7.92525,6.5307,1.39455,9.04699,34.027,7.42587,1.62112,1.1892,3.2973,4.4865,5.1081,1.2162,0.0811,20.6486,1.0
55,34,88.1,113.9,27.3,50.9,56.36,7.9,20.2,6.4,10.3,169,209,0.809,242,469,0.516,15,51,0.294,6.7,1.5,40.2,131.13,1.8,203,0.58927814,49.0,74.0,193.0,395.0,0.6622,0.4886,23.0,26.0,0.8846,89.3372,84.06,5.24379,262.089,7.16089,3.02668,4.13421,9.51149,35.3824,6.66198,2.84951,2.4118,6.1471,8.5588,0.9706,0.8824,2.3235,20.5294,1.0
56,32,87.0,115.1,25.7,61.0,60.98,19.9,30.9,7.3,18.2,136,235,0.579,208,341,0.61,0,0,0.0,8.1,3.4,68.9,121.634,3.6,1626,0.38822381,163.0,231.0,45.0,110.0,0.7056,0.4091,70.0,74.0,0.9459,85.7528,86.3437,4.9022,292.319,8.56669,3.36034,5.20634,8.29385,35.2188,6.15886,2.13499,5.75,8.625,14.375,1.0312,1.9062,2.1875,17.25,1.0
57,36,89.4,114.7,36.6,53.1,59.2,2.0,8.5,28.6,15.3,250,280,0.893,221,450,0.491,121,308,0.393,0.1,2.1,36.9,144.768,1.5,3137,1.19232373,109.0,151.0,112.0,299.0,0.7219,0.3746,2.0,3.0,0.6667,99.0445,95.5029,3.90002,215.402,7.05925,8.24222,-1.18298,10.1931,36.1389,10.0698,0.123288,0.6389,2.8611,3.5,4.3056,1.3333,0.0278,29.3056,1.0
58,31,80.4,118.2,24.2,56.2,64.06,1.9,9.4,11.3,16.7,185,221,0.837,85,175,0.486,64,147,0.435,0.4,1.0,68.6,121.79,2.4,3367,0.77140071,56.0,95.0,29.0,80.0,0.5895,0.3625,0.0,0.0,0.0,107.239,111.065,1.77021,154.625,1.16855,4.00529,-2.83674,3.56634,32.2903,5.31581,-1.74947,0.4839,2.7742,3.2581,1.7419,0.5806,0.129,17.6452,1.0
59,34,90.2,112.9,32.8,47.0,54.83,2.5,16.7,38.0,14.3,221,259,0.853,189,407,0.464,46,142,0.324,0.3,3.7,47.2,133.163,2.8,4149,1.94738903,114.0,181.0,75.0,226.0,0.6298,0.3319,6.0,8.0,0.75,93.3699,91.3968,4.44932,258.227,9.55658,6.99107,2.56551,10.1645,36.0882,6.90038,3.26417,0.7647,5.1176,5.8824,5.4412,2.1765,0.0882,21.6765,1.0
60,38,60.7,118.0,25.2,62.7,64.16,13.9,24.7,11.0,19.0,103,153,0.673,170,272,0.625,25,59,0.424,4.9,1.9,46.2,130.2,4.7,4369,0.67947974,128.0,168.0,42.0,104.0,0.7619,0.4038,47.0,50.0,0.94,87.4686,82.7681,3.72177,223.462,10.6049,5.65606,4.94879,9.37206,24.3684,6.16321,3.20885,2.7105,5.6053,8.3158,1.3947,0.7895,1.1316,13.6316,1.0
